Pharmacy_Name,Area,Medicine_Name,Medicine_Category,Stock_Quantity,Reorder_Level,Daily_Usage,Demand_Level,Delivery_Time_Days,Season,Disease_Outbreak,Date,Availability,Contact_Number,Opening_Hour,Closing_Hour,Home_Delivery,Delivery_Time_Minutes,Pharmacy_Type,Last_Updated
Apollo,Andheri,Cetrizine,Allergy,62,41,16,High,4,Rainy,Yes,2025-07-04,Available,9731663606,10,21,No,45,24x7,2026-04-26 08:22:08.464303
MedPlus,Thane,Cetrizine,Allergy,12,48,8,Low,2,Summer,No,2025-04-30,Low Stock,9709283279,9,22,No,35,Hospital,2026-04-26 08:22:08.464303
MedPlus,Andheri,Metformin,Diabetes,67,48,7,Low,3,Summer,No,2025-09-05,Available,9473202489,10,23,Yes,54,24x7,2026-04-26 08:22:08.464303
Wellness,Bandra,Vitamin D,Supplement,76,41,11,Medium,5,Summer,No,2025-02-01,Available,9765938821,8,23,Yes,19,24x7,2026-04-26 08:22:08.464303
Guardian,Andheri,Metformin,Diabetes,73,24,8,Low,3,Summer,No,2025-05-10,Available,9972618530,9,23,No,34,Hospital,2026-04-26 08:22:08.464303
Wellness,Andheri,Paracetamol,Painkiller,8,32,18,High,4,Rainy,Yes,2025-07-30,Low Stock,9375229664,10,22,No,31,Retail,2026-04-26 08:22:08.464303
Apollo,Dadar,ORS,Hydration,11,25,10,Medium,3,Winter,No,2025-11-14,Low Stock,9237485714,9,22,No,25,Hospital,2026-04-26 08:22:08.464303
Guardian,Bandra,Amoxicillin,Antibiotic,71,37,17,High,2,Rainy,Yes,2025-06-26,Available,9779122816,10,23,Yes,13,Retail,2026-04-26 08:22:08.464303
Apollo,Bandra,Cetrizine,Allergy,63,29,13,Medium,6,Rainy,No,2025-08-12,Available,9598447883,10,23,Yes,20,Retail,2026-04-26 08:22:08.464303
Guardian,Andheri,ORS,Hydration,14,31,15,Medium,3,Summer,No,2025-04-11,Low Stock,9162891012,10,22,No,52,24x7,2026-04-26 08:22:08.464303
Wellness,Bandra,Crocin,Painkiller,22,31,14,Medium,2,Winter,No,2025-12-12,Low Stock,9486640736,10,21,No,35,Hospital,2026-04-26 08:22:08.464303
Wellness,Andheri,Vitamin D,Supplement,16,32,7,Low,6,Rainy,No,2025-06-20,Low Stock,9494442228,9,21,No,29,Retail,2026-04-26 08:22:08.464303
Wellness,Thane,ORS,Hydration,80,23,11,Medium,5,Summer,No,2025-05-18,Available,9242048246,8,22,No,58,Retail,2026-04-26 08:22:08.464303
Apollo,Andheri,Amoxicillin,Antibiotic,69,37,20,High,6,Winter,Yes,2025-12-15,Available,9977386457,10,23,No,14,Retail,2026-04-26 08:22:08.464303
Wellness,Bandra,Vitamin D,Supplement,51,25,7,Low,2,Summer,No,2025-05-31,Available,9889091841,10,21,No,29,24x7,2026-04-26 08:22:08.464303
Guardian,Dadar,Azithromycin,Antibiotic,34,22,14,Medium,4,Summer,No,2025-03-16,Available,9706262946,10,23,Yes,38,Retail,2026-04-26 08:22:08.464303
Apollo,Bandra,ORS,Hydration,3,49,12,Medium,6,Winter,Yes,2025-12-28,Low Stock,9614982776,9,22,Yes,57,Retail,2026-04-26 08:22:08.464303
Wellness,Andheri,Azithromycin,Antibiotic,72,40,9,Medium,6,Summer,No,2025-05-25,Available,9936416119,10,22,Yes,45,Hospital,2026-04-26 08:22:08.464303
Guardian,Bandra,Paracetamol,Painkiller,78,21,13,Medium,6,Rainy,No,2025-08-28,Available,9697116750,9,22,Yes,54,Retail,2026-04-26 08:22:08.464303
Apollo,Bandra,ORS,Hydration,75,46,16,High,3,Rainy,Yes,2025-08-13,Available,9965993740,10,21,No,45,24x7,2026-04-26 08:22:08.464303
Wellness,Thane,Metformin,Diabetes,13,46,5,Low,3,Winter,No,2025-11-15,Low Stock,9419324065,10,22,Yes,16,Hospital,2026-04-26 08:22:08.464303
Apollo,Bandra,Insulin,Diabetes,1,44,10,Medium,6,Summer,No,2025-03-24,Low Stock,9149382687,10,22,Yes,57,24x7,2026-04-26 08:22:08.464303
Guardian,Thane,Paracetamol,Painkiller,46,33,20,High,2,Winter,Yes,2025-12-28,Available,9406218229,10,22,No,43,Retail,2026-04-26 08:22:08.464303
Guardian,Andheri,Vitamin D,Supplement,80,27,7,Low,6,Summer,No,2025-09-26,Available,9538157220,9,23,No,31,24x7,2026-04-26 08:22:08.464303
Wellness,Bandra,Metformin,Diabetes,60,25,11,Medium,5,Winter,No,2025-11-18,Available,9433041807,9,22,Yes,34,Retail,2026-04-26 08:22:08.464303
